year,make,model,body_styles
2023,Acura,ILX,Sedan
2023,Acura,Integra,Hatchback
2023,Acura,MDX,SUV
2023,Acura,RDX,SUV
2023,Alfa Romeo,Giulia,Sedan
2023,Alfa Romeo,Stelvio,SUV
2023,Alfa Romeo,Tonale,SUV
2023,Audi,A3,Sedan
2023,Audi,A4,Sedan
2023,Audi,A4 allroad,Wagon
2023,Audi,A5,"Coupe, Convertible, Sedan"
2023,Audi,A6,Sedan
2023,Audi,A6 allroad,Wagon
2023,Audi,A7,Sedan
2023,Audi,A8,Sedan
2023,Audi,e-tron,SUV
2023,Audi,e-tron GT,Sedan
2023,Audi,e-tron S,SUV
2023,Audi,e-tron S Sportback,SUV
2023,Audi,e-tron Sportback,SUV
2023,Audi,Q3,SUV
2023,Audi,Q5,SUV
2023,Audi,Q5 Sportback,SUV
2023,Audi,Q7,SUV
2023,Audi,Q8,SUV
2023,Audi,R8,"Convertible, Coupe"
2023,Audi,RS 3,Sedan
2023,Audi,RS 5,"Coupe, Sedan"
2023,Audi,RS 6,Wagon
2023,Audi,RS 7,Sedan
2023,Audi,RS e-tron GT,Sedan
2023,Audi,RS Q8,SUV
2023,Audi,S3,Sedan
2023,Audi,S4,Sedan
2023,Audi,S5,"Coupe, Sedan, Convertible"
2023,Audi,S6,Sedan
2023,Audi,S7,Sedan
2023,Audi,S8,Sedan
2023,Audi,SQ5,SUV
2023,Audi,SQ5 Sportback,SUV
2023,Audi,SQ7,SUV
2023,Audi,SQ8,SUV
2023,Audi,TT,Coupe
2023,BMW,2 Series,"Sedan, Coupe"
2023,BMW,3 Series,Sedan
2023,BMW,4 Series,Coupe
2023,BMW,5 Series,Sedan
2023,BMW,7 Series,Sedan
2023,BMW,8 Series,"Sedan, Coupe, Convertible"
2023,BMW,i4,Coupe
2023,BMW,i7,Sedan
2023,BMW,iX,SUV
2023,BMW,M3,Sedan
2023,BMW,M4,"Coupe, Convertible"
2023,BMW,M5,Sedan
2023,BMW,M8,"Hatchback, Coupe, Convertible"
2023,BMW,X1,SUV
2023,BMW,X2,SUV
2023,BMW,X3,SUV
2023,BMW,X3 M,SUV
2023,BMW,X4,SUV
2023,BMW,X5,SUV
2023,BMW,X5 M,SUV
2023,BMW,X6,SUV